##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
C2EEF3F6.html	File: C2EEF3F6.html
'slight	by God's light (common Elizabethan oath). [Twelfth Night]
'Tis all one	i.e., 'tis all the same, it makes no difference to me. [Romeo and Juliet]
A	HOLD: a sea-term
a dairy	maid
a free	school
a gallows	bird
A-GOOD	a good deal, plenteously.
A-HOLD	a sea-term.
a nick	name applied to Caliban
a pan	cake
a patient list	the limits of patience
A-ROW	one after another.
a saddle	cloth hanging down to the ground
a sea	term
ABANDONED	banished, kept away from.
ABATE	to lessen, shorten; to blunt; to bar.
ABATEMENT	diminution
ABHOR	protest; disgust
ABIDE	to sojourn to expiate
ABILITY	wealth, means.
ABJECT	adj. an object of contempt.
ABJECTLY	basely, horribly.
Abjects	outcasts, servile persons
ABLE	to uphold
ABORTIVE	born prematurely; unnatural.
Abram	auburn
ABRIDGEMENT	a short play.
ABROAD	away, apart
ABROOK	to brook, abide
ABSEY	BOOK: a primer
ABSEY-BOOK	a primer.
ABSOLUTE	positive, certain Complete
ABUSE	to deceive; deception
Abused	deceived
ABY	to expiate a fault
ABYSM	abyss
Accident	event, happening
ACCITE	to cite, summon
Accompt	agreement
ACCUSE	accusation
Acheron	A river in Hades (one of five, this one of woe), compared to the cave where he meets the witches [link]
ACHIEVE	to obtain.
ACKNOWN	'to be acknown' is to acknowledge
ACQUITTANCE	a receipt or discharge
ACQUITTANCE (1)|ACQUITTANCE	a receipt or discharge.
ACQUITTANCE (2)|ACQUITTANCE	to acquit, clear.
ACTION	TAKING: litigious
ACTION-TAKING	wanting satisfaction through the law.
ACTURE	action, performance.
Adamant	Loadstone
adder's fork	The forked tongue of the adder.
ADDITION	title, attribute.
ADDRESS	to prepare oneself
Address'd	Ready
ADDRESSED	prepared
adhere	agree
Admirable	to be wondered at
admired disorder	astonishing crazed behavior
ADVANCE	to prefer, promote to honour
Advantage	opportunity
adventure my discretion	risk my reputation.
ADVERTISEMENT	admonition
ADVERTISING	attentive.
ADVICE	consideration, discretion.
ADVISE	sometimes neuter, sometimes reflective, to consider, reflect
ADVISED	considerate, on your guard
ADVOCATION	pleading, advocacy
aery	nest.
AFEARED	afraid
AFFECT	to love
Affectioned	affected, one who puts on airs
affections swayed	passions ruled.
Affects	passions
affeered	affirmed
Affined	related, bound
Affront	to confront, meet
AFFY	to affiance To trust
AFRONT	in front.
Against	in preparation for
Against the hair	"against the grain" (i.e. going against what is usually done)
AGAZED	looking in amazement
AGLET	BABY: the small figure engraved on a jewel
AGLET-BABY	the small figure engraved on a jewel.
AGNISE	to acknowledge, confess
Agnize	to acknowledge, confess
Agood	much
AIERIE	the nest of a bird of prey
AIM	a guess.
Aimed so near	guessed as much
alack	an expression of dismay or surprise
alarm	call to arms
alarum	battle noise not on the stage
alarum'd	summoned to action.
ALDER	LIEFEST: most loved of all
