##name	Tunneling
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	English to Hebrew Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc. 
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2005/09/04, 07:42
##bgl_middleUpdated	2012/05/23, 14:57
##bgl_lastUpdated	2012/05/23, 14:57
Abrasion	דיוס מדורג יורד
Abutment	ניצב, הקטע התומך מפתח כנגד כוחות אנכיים
Accelerator	מאיץ, מאיץ התקשות
Access Tunnel|Access Tunnels	מנהרת גישה
Accidental Loads|Accidental Load	עומסים אקראיים, עומס הנוצר עקב הרס של רכיב אחר, עקב פיצוץ, או עקב הולם של כלי רכב
Active Earth Pressure|Ka	לחץ עפר פעיל
Actual Strength	חוזק אמיתי
Addendum	נספח
Additive	מוסף
Adherence Capacity	תסבולת הקשר
Adhesion	הידבקות
Adit|Adits	מנהרת גישה, מעבר אופקי או קרוב לאופקי מפני הקרקע לחזית הכרייה או לאזור ניקוז מים בעבודה תת-קרקעית
Admixture|Admixtures	מוסף
Advance	התקדמות, מרחק הכריה בזמן מוגדר בדרך כלל משמרת
Advance Per Cycle	מחזור התקדמות, מחזור הכולל כרייה, תימוך וקידום מערכות
Aggregates|Aggregate	אגרגטים, חצץ
Air Compressor|Air Compressors	מדחס אוויר
Air Duct|Air Ducts|Duct|Ducts	מובל אוורור
Air Exhaust Fan|Air Exhaust Fans	מאוורר יניקה
Air Lock|Air Locks	תא מעבר המווסת את לחץ האוויר
Air Pressurised Shield|Air Pressure Shield	מגן עם לחץ אויר, מגן המיועד לעבודה מתחת לפני מי תהום ובו מאוזן לחץ מי התהום על ידי לחץ אוויר הנדחס בין ראש הכרייה למחיצה חזיתית
Alignment	תיווי, ביצוע תוואי מדידה
Allowable	מותר
Allowable Stresses|Allowable Stress	מאמץ מותר
Alluvium	אלוביום
Alteration of Rock	החלפה, כל שינוי בהרכב המינרלוגי של הסלע הנגרם עקב גורמים פיזיים או כימיים
Alternation of Rock	החלפה, כל שינוי בהרכב המינרלוגי של סלע הנגרם עקב גורמים פיזיים או כימיים
Alternative Design	תכנון חלופי
Aluminum	אלומיניום
American Association of State Highway and Transportation Officials|AASHTO|The American Association of State Highway and Transportation Officials	האיגוד האמריקאי הרישמי לתחבורה - AASHTO<BR><HR>http://transportation.org
American Concrete Institute - ACI|ACI|American Concrete Institute	מכון הבטון האמריקאי<BR><HR>http://www.aci-int.org
American National Standards Institute - ANSI|ANSI|American National Standards Institute	מכון התקינה האמריקאי
American Society of Civil Engineers - ASCE|ASCE|American Society of Civil Engineers	האגודה האמריקאית להנדסה אזרחית<BR><HR>http://www.asce.org
American Society of Testing and Materials - ASTM|ASTM|American Society of Testing and Materials|The American Society of Testing and Materials	מכון ההסמכות האמריקאי (בכל הנוגע לבדיקות וחומרים)<HR>http://www.astm.org
Anabeh Tunnel	מנהרת ענבה.<br>מנהרה בקו הרכבת המוביל למודיעין וירושלים
Analyse|Analysed|Analysing	לבצע אנליזה, לנתח, לבצע הרצת מחשב
Analyses	אנליזות, בדיקות
Analysis	אנליזה, ניתוח של מצב, בדיקה
Analyze|Analyzed|Analyzes|Analyzing	לנתח, להריץ, לבצע הרצה (במחשב), לבצע אנליזה
Anchor|Anchors	עוגן, אמצעי המשמש להעברת עומסי מתיחה לקרקע (עפר או סלע)
Anchor Head	ראש העוגן
Anchorage	עיגון
Anchored Length	אורך תפיסה, מונח מתחום העוגנים המתאר את הקטע בו העוגן בא במגע עם הקרקע בזמן הדריכה
Angle of Slope	זוית המדרון, שיפוע המדרון מדוד במעלות. את שיפוע המדרון ניתן לציין במעלות, באחוזים, או כייחס השינוי בציר הגובה כנגד השינוי בציר המישור
Angular	זוויתי, נוקשה
Annex|Annexes	נספח
Anti Corrosion Compound	חומר מעכב שיתוך
Aperture	מרווח, המרחק הניצב בין שתי דפנות של אי-רציפות בסלע כאשר המרווח בינהם מלא אוויר, מים או חומרי מילוי מצומנטים
Appendix|Appendixes	נספח
Application	יישום
Approval	אישור רשמי, הכוונה בדרך כלל לאישור תקן או מערכת מאושרת אחרת
Arch|Arches	קשת תימוך
Arching	תופעת הקימור
Arrangement of Spacing	סידור הריווח, קביעת הרווחים בין מוטות זיון או בין ברגי סלע / מסמרי קרקע
As Made Drawings|As Build Plan|As Built|As Built Drawing|As Built Drawings|As Made|As Made Drawing	תכניות 'כפי שבוצע', תכניות עדות, תכניות שמגיש הקבלן לאחר סיום הביצוע. תכניות אלו הן תכניות המתכנן שמעודכנות למצב האמיתי לאחר הביצוע תוך ציון הסטיות מהמתוכנן
As Required	כנדרש, כפי שמוגדר בחוזה / מפרט / בתכניות
Asphalt|Asphalts	תערובת אספלט
Asphalt Plant|Asphalt Plants	מתקן ליצור אספלט
Assumption|Assumptions	תפיסה, הנחה, השערה
Atmospheric Pressure	לחץ אטמוספרי
Atterberg Limits|Atterberg Limit	גבולות אטרברג, גבול הנזילות וגבול הפלסטיות של חומרים
Attribute	תכונה, סגולה
Auger|Augers	מקדח, מקדח סיבובי בו הקרקע הנחדרת מועברת לקצה הקידוח בתנועה סיבובית דרך הצלעות הספירליות של המקדח
Augering	קידוח, קידוח על בסיס מקדח סיבובי בו הקרקע הנחדרת מועברת לקצה הקידוח בתנועה סיבובית דרך הצלעות הספירליות של המקדח
Automatic Welding	ריתוך אוטומטי
Average	ממוצע, רגיל
Average Daily Traffic - ADT|ADT|Average Daily Traffic	תנועה יומית ממוצעת
Avoided Cost	עלות נחסכת, עלות החלופה שנחסכת עקב ביצוע הפרויקט
Axial Force|Axial Forces	כוח לחיצה
Axial Pressure	מאמץ צירי
Axial Stiffness	קשיחות אורכית, קשיחות צירית
Axle Load|Axle Loads	עומס סרן
Ayalon Highways	חברת נתיבי איילון<BR><HR>http://www.ayalonhw.co.il
Backanalysis	ניתוח של התהליך שגרם לכשל וקבלת המאפיינים 'האמיתיים' של הקרקע
Backfill	מילוי קרקע מאחורי קיר דיפון
Backfilling	מילוי חוזר, החזרת אדמה
Backhoe Shield|Backacter Shield	מגן מחפר, מגן פתוח שמותקנת בו זרוע של מחפר
Backpacked	מילוי בין התימוך לסלע
Backpacking Wedges|Backpacking Wedge	טריזי מילוי
Bagger|Backhoe	מחפר, מחפר-נסוג.<BR>מחפר עם כף הפונה לכיוון הכלי
Bar Anchor	עוגן מוט, עוגן המורכב ממיתר עשוי ממוט פלדה
Bar Diameter|Bars Diameter	קוטר מוט הזיון
Barton-Bandis Criterion|Barton Bandis|Barton Bandis Criterion|Barton-Bandis	קריטריון קשר אמפירי להרס, למידול חוזק לגזירה של אי-רציפויות בסלע כדוגמת סדקים
Basalt	בזלת
Basement	מרתף
Basic Assumptions|Basic Assumption	הנחות יסוד
Beam|Beams	קורה
Bearing	תסבולת, יכולת לשאת
Bearing Capacity	תסבולת במאמצי מגע
Bearing Head	מכסה ראש העוגן, משטח דריכה, דיסקה
Bearing Test	מבחן תסבולת
Bedded Planes	שכבות דקות
Bedding	מישורי שיכוב, אי רציפות בסלע<BR>מצעים
Bedding Surface	פני השיכוב, מישור הביניים המפריד בין שתי שכבות סמוכות של סלע משקע או מותמר
Bedrock	סלע יסוד
Behavior	התנהגות
Bellows	מפוח אוויר
Bench	הקטע אותו חופרים לצורך העמקת החתך
Benching Down	העמקת חתך המנהרה, חציבה למטה
Bend	וו
Bending	כפיפה
Bending Moment|Bending Moments|Moment|Moments	מומנט כפיפה
Bentonite	בנטונייט, מינרל חרסיתי
Bibliography	ביבליוגרפיה, רשימת מקורות מידע
Bid|Bids	מכרז, הצעת מחיר
Bidder|Bidders	הגוף (הקבלן) שניגש למכרז
Bifurcation	מסעף, התפצלות לשני חלקים
Bill of Quantities|B.O.Q|B.O.Q.|BOQ	כתב כמויות
Blast	לפוצץ, פיצוץ
Blast Vibrations|Blast Vibration	רטט פיצוץ
Blasting	פיצוץ, לפוצץ
Blasting Fracture|Blasting Fractures	שבר מפיצוץ
Bleeding Test	בדיקה להפרשת מים ולשינוי הנפח (הצטמקות או התפשטות)
Bleeding of Concrete|Bleeding	הפרשת מים מהבטון
Block|Blocks	בלוק, לבנה
Blocking Points	נקודות המגע בין הסלע והתמיכות
Blocky	סדוק במקצת
Blowout	בריחת אוויר פתאומית ממנהרה הנחפרת תחת לחץ אוויר
Bolt|Bolts	בורג
Bond	הידבקות
Boom Cutter	מכונת מנהור בשיטת הכרסום או החיתוך.<BR>המכונה מבצעת את תהליך המנהור בחתך חלקי (גזרה צרה)
Boom Cutting|Boom-Cutting	חיתוך עם מכונת חיתוך
Borehole|Boreholes	קדח, בדרך כלל הכוונה לקידוח המבוצע לחקירה גיאולוגית
Borehole Log|Borehole Logs|Log|Logs	לוג קידוח, תרשים השכבות הגיאולוגיות כפי שבא לידי ביטוי בקידוח ניסיון
Boring	חפירה, בדרך כלל הכוונה לחפירה על בסיס TBM מכונת מנהור
Bottom Level|Unterkante	הצד התחתון
Boulder|Boulders	חלק סלע מנותק ממסת הסלע לרוב מעוגל בקוטר מינימלי של כ- 25 ס"מ, בצורה אופיינית ממוקם במרחק מה מסלע המקור
Boundary Elements|Boundary Element	אלמנטי שפה
Braced	מוחזק
Braced Frame	מסגרת מוחזקת
Bracing System|Bracing Systems	מערכת הקשחה
Breast Board|Breast Boarding|Breast Boards|Breastboarding	לוח לתימוך החזית כנגד קרקע רכה
Breccia	ברקציה.<BR>חלקי סלע (בארץ לרוב קווארץ) זויתיים עם קוטר הגדול מ- 2 מ"מ נמצאים בתוך חומר מלכד גירי או צורני
Bridge|Bridges	גשר, מגשר
Bridge Deck	מיסעת הגשר
Bridge Pier	נציב הגשר
British Standard|BS	התקן הבריטי<HR>http://www.bsi-global.com
Brittle	פריך
Bucket	מחפר מיכל
Buckling	קריסה
Buckling Stress|Buckling Stresses	מאמץ קריסה
Budget|Budgets	תקציב
Build Operate Transfer - BOT|BOT|Build Operate Transfer|Build-Operate-Transfer	שיטת מכרז בא היזם בונה ומממן את הפרויקט, מפעילו לתקופה מוסכמת ומעביר השליטה למדינה בסוף התקופה
Build and Design Method|Build & Design|Build and Design	שיטת תכנון ביצוע, שיטה בה הקבלן מתכנן ומבצע את התכנון שלו
Building	מבנה, בניין, בנייה
Building Equipment	ציוד בינוי
Built Up	מורכב
Bulk Density|Bulk Unit Weight	משקל מרחבי
Bulldozer Tractor|Bulldozer|Bulldozer Tractors|Bulldozers	טרקטור דחפור
Bundled Bars	קבוצת מוטות
Buoyancy	נטייה לצוף
Buoyant Unit Weight	מקדם הציפה
Butt Weld	רתך השקה
Button Bit	ראש קידוח בצורת כפתור
Bypass	מעקף
Cage	כלוב זיון<BR>מונח מקצועי לתיאור תא מעלית בפירים
Caisson	תיבה או גליל אטומים למים לטובת חפירה בתוך טווח מימי, כגון יציקת יסודות במים
Calculate	לחשב
Calculation Steps|Calculation Step	שלבי חישוב
Calculations|Calculation	חישובים
Calibration Test	בדיקת כיול
Camber	כפף עקב דריכה
Canopy	חופה, בדרך כלל משמש לתאור של מערך תימוך בתקרה
Canopy Tubes	צינורות חופה, צינורות קירוי מקדים
Cantilever	זיז, קונזול
Cantilever Beam|Cantilever Beams	קורת זיז, קורה קונזולית
Cantilever Wall|Cantilever Walls	קיר תמך קונזולי
Cap Lamp|Cap Lamps	פנס המותקן על גבי כובע המגן - הקסדה
Capacity	תסבולת, קיבולת
Capital	הון הנדרש לצורך ישום פרויקט
Carefully Backpacked	מלוי טוב בין התימוך לסלע
Case History	תולדות המקרה, דוגמא היסטורית
Casing	עטיפה
Cast	יצוק
Cast Concrete	בטון יצוק
Cast Iron	ברזל יציקה
Cast in Place - CIP|CIP|Cast in Place	יצוק במקום, יצוק באתר
Cast in-Situ Concrete Works	עבודות בטון יצוק באתר
Cast-in-Place|Cast in Place	יציקה באתר
Cast-in-Situ|Cast in Situ	יציקה באתר
Casting	יציקה, יציקת הבטון
Casting Joint	תפר יציקה
Cavern|Caverns	אולם תת-קרקעי, מנהרה בחתך גדול
Cavity Grouting	דיוס למילוי חללים
Cedar	עץ ארז
Ceiling|Ceilings	תקרה
Cement	צמנט, מלט
Cementation	צמנוט, תהליך בו מוחדר חומר צמנטי לקרקע כדי לשפר את איכותה
Center of Symmetry	ציר הסימטרייה
