##name	Tunneling
##sourceLang	Hebrew
##targetLang	English
##bgl_defaultCharset	cp1255
##bgl_sourceCharset	cp1255
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1255
##bgl_sourceEncoding	cp1255
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	Hebrew to English Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2006/08/24, 09:35
##bgl_middleUpdated	2012/05/23, 14:58
##bgl_lastUpdated	2012/05/23, 14:58
אבטחת איכות|א"א	Quality Assurance
אבן בוץ	Mudstone
אבן חול	Sandstone
אבן חרסית	Claystone
אגירה שאובה	Pumped Storage
אגף הקורה|אגף|אגף קורה|אגף של קורה|אגפים	Flange
אגרגאט חד גרגר|אגרגאט חד-גרגר|אגרגאט חד-גרגרי|אגרגט חד גרגרי|אגרגט חד-גרגרי	Single Sized Aggregate
אגרגאט מינרלי קל	Mineral Lightweight Aggregate
אגרגט|חצץ	Aggregate
אוויר דחוס|אוויר בלחץ	Compressed Air
אוורור|איוורור	Ventilation
אוזן|וו|קרס	Hook
אולם תת קרקעי|אולמות תת קרקעיים	Cavern
אולמות|אולם|חדר|חדרים	Chambers
אופציונלי|אופציונאלי	Optional
אופקי	Horizontal
אורך גלעין	Length of Core
אורך חופשי|קטע חופשי	Free Length<BR>Unbonded Length
אורך כללי	Overall Length
אורך עיגון|אורכי עיגון	Development Length
אורך פעיל	Effective Length
אורך קטע מעוגן|אורך מעוגן|אורך תפוס	Tendon Bond Length
אורך תפיסה	Anchored Length
אזור גזירה|אזורי גזירה|איזור גזירה|איזורי גזירה	Shear Zone
אזור הכרייה|אזור החפירה|אזור החציבה	Excavated Region
אזורי רעידת אדמה|אזורי רעידות אדמה	Earthquake Zones
אזכור|אזכורים	Reference
אטום למים|אטומים למים	Waterproof
אטימות|אי חדירות	Impermeability<BR>Tightness
אטמים|אטם	Packers
אי רציפויות|אי רציפות	Discontinuities
איזור שבר|אזור שבר|אזורי שבר|איזורי שבר	Faulted Zone
איטום|איטומים	Sealing
איטום למים	Water Proofing
איטרציה|איטרציות|חזרה|חזרות	Iteration
איכול	Erosion
איכול הבטון	Erosion of Concrete
איכות גרועה|איכויות גרועות	Poor Quality
איכות גרועה מאוד	Very Poor Quality
איכות הסלע|איכויות הסלע|איכויות סלע|איכות סלע	Rock Quality
איכות טובה	Good Quality
איכות טובה מאוד	Very Good Quality
איכות סבירה	Fair Quality
איכותי|איכויות	Quality
אינדקס הפלסטיות|אינדקס פלסטיות|מדד הפלסטיות|מדד פלסטיות	Plasticity Index
אירגון תקינה בינלאומי	International Organization for Standardization - ISO
אישור רשמי|אישור	Approval
איתנות	Soudness
אלומיניום	Aluminum
אלמנט	Element
אלמנט טרום|רכיב טרום	Precast
אלמנט מבטון טרום|אלמנטים מבטון טרום	Precast Concrete Segment
אלמנט מחזק|אלמנטים מחזקים|רכיב מחזק|רכיבים מחזקים	Reinforcing Member
אלמנטי שפה|אלמנט שפה	Boundary Elements
אלמנטי תימוך מקדים|אלמנטים לתימוך מקדים|תימוך מקדים	Forepoles
אלסטי	Elastic
אנכי	Vertical
אנליזה הפוכה	Backanalysis
אנליזה מבנית	Structural Analysis
אנליזת יציבות|אנליזות יציבות	Stability Analysis
אסמכתא|אסמכתאות	Reference<BR>Proof
אספלט	Asphalt
אפר פחם	Fly Ash
אשפרה|אשפרת הבטון	Curing
אשפרה בקיטור|אשפרת קיטור	Steam Curing
אתר|אתרים	Job Site
אתר הבנייה|אתר	Construction Site
בארות סילון	Jetting Wells
באתר|אתר	In situ
בד גיאוטכני	Geoweb
בדיקה באתר|בדיקת אתר	Field Investigation
בדיקה להפרשת מים	Bleeding Test
בדיקות קשיות|בדיקת קשיות	Hardness Tests
בדיקת אתר|בדיקה באתר|בדיקות אתר|בדיקות באתר	Site Investigation
בדיקת ביצועים|בדיקות ביצועים	Suitability Test
בדיקת גזירה|בדיקות גזירה	Shear Test
בדיקת חדירה|בדיקת חדירות|בדיקת קשיות	Indentation
בדיקת כיול	Calibration Test
בדיקת מתיחה|בדיקת שליפה	Pull Test
בדיקת שליפה|בדיקות שליפה	Pull Out Test
בולדר|בולדרים	Boulder
בוץ	Mud
בורג|ברגים	Bolt
בורג דייס חלול לעיגון|בורג חלול|בורג חלול לעיגון ע"י דייס צמנטי	Hollow Groutable Re Bar
בורג משוסע|ברגים משוסעים	Split Set
בורג סלע|ברגי סלע	Rock Bolt
בזלת	Basalt
בטון|בטונים	Concrete
בטון דרוך|בטונים דרוכים	Prestressed Concrete
בטון טרום	Precast Concrete
בטון טרי	Fresh Concrete
בטון יצוק|בטון יציקה	Cast Concrete
בטון כלוא	Confined Concrete
בטון מבני|בטונים מבניים	Structural Concrete
בטון מותז|בטונים מותזים	Shotcrete<BR>Gunite<BR>Torcrete<BR>Spritzbeton<BR>Spraycrete<BR>Sprayed Concrete<BR>Gunned Concrete
בטון מותז מבטון דק גרגר|בטון מותז	Gunite
בטון מותז מזויין	Reinforced Shotcrete
בטון מזויין	Reinforced Concrete
בטון קשוי	Hardened Concrete
בטון רזה	Lean Concrete
בטיחות	Safety
בידוק	Check List
ביניים|מרכזי	Intermediate
ביסוס|יסודות	Foundations
בלוי|בלויים	Weathered
בלוי מאוד|שחוק מאוד	Highly Weathered
בלוק|בלוקים|לבנה|לבנים	Block
בלייה|התפוררות פני הסלע	Weathering
בלתי נסבל	Intolerable
בנטונייט	Bentonite
בני|בנוי מבלוקים|בנוי מלבנים	Masonry
בנייה|מבנה	Construction
בניין|בנייה|מבנה	Building
בקרה אנושית|בקרת אדם|שליטה אנושית|שליטת אדם	Human Control
בקרת איכות|ב"א	Quality Control
ברגי סלע במערך קבוע	Pattern Bolting
ברגי סלע בתקרה|ברגי סלע	Roof Bolt
ברגי סלע מסיבי זכוכית|בורג סלע מסיבי זכוכית	Fiberglass Rock Bolts
ברגי סלע מפיברגלס|בורג סלע מפירגלס	Fiberglass Rock Bolts
ברוג סלע אקרעי|בירוג סלע אקרעי|ברגי סלע אקרעיים	Spot Bolting
ברזל יציקה	Cast Iron
בריחת אוויר	Blowout
ברקציה	Breccia
גאוטכני|גיאוטכני	Geotechnical
גאולוג האתר	Well Sitter
גבול בין שני חומרים|גבול משותף בין שני חומרים	Interface
גבול הנזילות	Liquidity Limit
גבול הפלסטיות|גבול פלסטיות	Plastic Limit
גבול הצטמקות|גבולות ההצטמקות|גבולות הצטמקות	Shrinkage Limit
גבול התחום האלסטי|נקודת הכניעה	Elastic Limit
גבולות אטרברג|אטרברג	Atterberg Limits
גבס	Plaster if Paris
גדיל|גדילים	Strand
גובה|גבהים	Height
גובה הכיסוי מעל המנהרה|גובה הכיסוי|גובה כיסוי	Height of Cover
גובה פני הקרקע|פני הקרקע	Ground Level
גזירה	Shear
גזירה שיורית	Residual Shear
גיאולוג|גאולוג|גאולוגים|גיאולוגים	Geologist
גיאולוגיה|גאולוגיה|חקר הקרקע	Geology
גיאופיזיקה|גאו-פיזיקה|גאופיזיקה|גיאו-פיזיקה	Geophysics
גילוון|גילוונים|גלוון|גלוונים	Galvanization
גיליון|גיליונות	Sheet
גימור|גמר	Finish
גיר דולומיטי	Dolomitic Limestone
גיר עם רובדי חוואר	Limestone with Marl Interbeds
גיר קירטוני|גיר קרטוני	Chalky Limestone
גלי	Undulating
גלעין|גלעינים	Core
גמיש	Elastic
גמלון|גמלונים	Gable
גנייס	Gneiss
גס גרגר|גס	Coarse
גרוס	Crushed
גרור נתמך|סמי טריילר|סמי-טריילר	Semi-Trailer
גרנולרי|בעל גרגירים|גרגרי|גרעיני	Granular
גרניט|גרניטים	Granite
גרסה|גרסאות	Version<BR>Variant
גשר|גשרים	Bridge
דו ממדי|מישורי	Two Dimensional
דו-רתום|דו רתום|דו רתומים|דו-רתומים	Span Fixed at Both Ends
דוגמא	Pattern
דולומיט|דולומיטים	Dolomite
דולומיט גירי|סלע דולומיט גירי	Limy Dolomite
דופן|דפנות	Wall
דופן קורה|דופן|דופן הקורה|דופן של קורה|דפנות|דפנות קורה|דפנות של קורה	Web
דחוף	Urgent
דחיקת צינורות|דחיקות צינורות|דחיקת צינור	Pipe Jacking
דיוס	Grouting
דיוס בשלב מאוחר	Post Grouting
דיוס למילוי חללים	Cavity Grouting
דיוס מאזן	Compensation Grouting
דיוס מגע	Contact Grouting
דיוס מדורג יורד	Grouting in Descending Stages
דיוס מדורג עולה	Grouting in Ascending Stages
דיוס מקדים	Pre Grouting
דיוס סילוני	Jet Grouting
דיוס קונסולידציה	Consolidation Grouting
דייס	Grout
דינמיט|דינאמיט	Dynamite
דיפון|ציפוי פנימי	Lining
דיפון בטון|דיפון בבטון|דיפון הבטון	Concrete Lining
דיפון בטון מותז|דיפון בבטון מותז	Shotcrete Lining
דיפון פלדה|דיפון מפלדה	Steel Lining
דיפון קבוע|דיפונים קבועים	Permanent Lining
דירוג|דירוגים|דרוג|דרוגים סיווגים|סיווג	Grade<BR>Grading Quality
דירוג איכות הסלע	Rock Quality Designation - RQD
דירוג מבנה הסלע	Rock Structure Rating - RSR
דלת חסינת אש|דלתות חסינות אש	Fire Resistant Door
דפוס	Pattern
דפורמציה אלסטית|עיוות בתחום האלסטי	Elastic Deformation
דרוג הפלדה|דירוג הפלדה|סיווג הפלדה	Steel Grade
דרוך|דרוכים	Pre Stressed
דריכת אחר	Posttensioning
דריכת קדם|דריכת-קדם	Pretensioning
הגנה מפני אש|מוגן אש|מוגני אש	Fire Protection
הגנה מפני נפילות גושי סלע	Rock Fall Protection
הדמיה נומרית|הדמיות נומריות|סימולציה נומרית|סימולציות נומריות	Numerical Simulation
הולם	Impact
הומוגני|אחיד	Homogeneous
הון	Capital
הוראות התקנה|הנחיות התקנה	Installation Instruction
החברה הלאומית לדרכים בישראל|החברה הלאומית לדרכים|מע"צ|מע"צ החדשה	Israel National Roads Company
החלקה	Sliding
הטרוגני|לא אחיד	Heterogeneous
הטרחה|הטרחות	Load Effects
הטרחות|הטרחה	Disturbing Loads
הידבקות|הדבקות	Adhesion<BR>Bond
היסדקות|הסדקות	Cracking
היפוך	Overturning
היפותיזה	Hypothesis
היפרדות	Parting
היקף	Circumference<BR>Perimeter
היקפי	Circumferential
הכתמה	Staining
המפלס התחתון|גובה תחתית|מפלס תחתון	Invert Level
המפלס התחתון של קיר הדיפון|מפלס תחתון של קיר דיפון	Wall Toe
המפרט הכללי|המפרט הבין-משרדי	Standard Specifications
הנדסה אזרחית	Civil Engineering
הנדסת מבנים	Structural Engineering
הנדסת סלע	Rock Engineering
הנדסת קרקע	Geo Engineering
הנחות יסוד|הנחת יסוד	Basic Assumptions
הנחיות לביצוע	Code of Practice
הסוכנות האמריקאית הפדרלית לטיפול במצבי חירום	Federal Emergency Management Administration - FEMA
הסרת עומס|הסרת עומסים	Load Removal
העמסה	Loading
העמסה אקסצנטרית	Eccentric Loading
העמקת החתך|חציבה למטה	Benching Down
הערה|הערות	Note<BR>Comment<BR>Annotation<BR>Remark<BR>Reference
הערכת סיכונים|הערכות סיכון|הערכות סיכונים|הערכת סיכון	Risk Assessment
הפרעה	Disturbance
הפרשת מים מהבטון|הפרשת מים	Bleeding
הצטמקות	Shrinkage
הצינור המוביל	Lead Pipe
הצעת מחיר|מכרז	Bid
